Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779777569,16.17,16.17,0.00,41.94,0.00
1779777570,15.47,15.47,0.00,37.95,0.00
1779777571,15.13,15.13,0.00,38.59,0.00
1779777572,13.64,13.64,0.00,40.22,0.00
1779777573,16.77,16.77,0.00,59.36,0.00
1779777574,12.44,12.44,0.00,39.68,0.00
1779777575,10.45,10.45,0.00,30.18,0.00
1779777576,12.23,12.23,0.00,33.28,0.00
1779777577,12.70,12.70,0.00,40.30,0.00
1779777578,7.79,7.79,0.00,31.50,0.02
1779777579,7.11,7.11,0.00,19.19,0.11
1779777580,6.96,6.96,0.00,21.95,0.12
1779777581,7.58,7.58,0.00,26.04,0.11
1779777582,9.25,9.25,0.00,34.98,0.31
1779777583,8.63,8.63,0.00,18.68,0.25
1779777584,10.30,10.30,0.00,24.35,0.29
1779777585,9.14,9.14,0.00,25.43,0.31
1779777586,10.04,10.04,0.00,34.31,0.18
1779777587,8.67,8.67,0.00,19.07,0.25
1779777588,9.36,9.36,0.00,22.53,0.59
1779777589,8.71,8.71,0.00,21.99,0.34
1779777590,9.59,9.59,0.00,36.18,0.15
1779777591,8.39,8.39,0.00,17.27,0.38
1779777592,10.72,10.72,0.00,26.33,0.70
1779777593,9.82,9.82,0.00,27.76,0.20
1779777594,11.95,11.95,0.00,37.48,0.27
1779777595,10.23,10.23,0.00,29.99,0.25
1779777596,10.16,10.16,0.00,31.62,0.22
1779777597,10.80,10.80,0.00,32.55,0.13
1779777598,10.40,10.40,0.00,46.28,0.16
1779777599,10.54,10.54,0.00,26.63,0.33
1779777600,9.86,9.86,0.00,25.53,0.28
1779777601,10.34,10.34,0.00,23.50,0.13
1779777602,11.01,11.01,0.00,39.62,0.18
1779777603,9.74,9.74,0.00,24.92,0.54
1779777604,11.42,11.42,0.00,25.82,0.93
1779777605,10.25,10.25,0.00,25.16,0.42
1779777606,11.32,11.32,0.00,39.30,0.46
1779777607,15.15,15.15,0.00,34.34,0.35
1779777608,9.98,9.98,0.00,28.42,0.25
1779777609,12.16,12.16,0.00,36.01,0.29
1779777610,15.76,15.76,0.00,43.93,0.22
1779777611,10.42,10.42,0.00,40.55,0.74
1779777612,7.81,7.81,0.00,23.85,0.33
1779777613,9.59,9.59,0.00,29.30,0.10
1779777614,10.98,10.98,0.00,27.24,0.39
1779777615,10.52,10.52,0.00,45.95,0.16
1779777616,10.05,10.05,0.00,34.34,0.14
1779777617,10.73,10.73,0.00,37.96,0.38
1779777618,11.48,11.48,0.00,36.83,0.20
1779777619,9.74,9.74,0.00,42.79,0.11
1779777620,11.27,11.27,0.00,48.49,0.18
1779777621,10.06,10.06,0.00,42.21,0.24
1779777622,10.14,10.14,0.00,41.54,0.11
1779777623,10.87,10.87,0.00,44.77,0.19
1779777624,11.35,11.35,0.00,47.12,0.13
1779777625,11.51,11.51,0.00,46.43,0.26
1779777626,12.84,12.84,0.00,49.41,0.35
1779777627,12.99,12.99,0.00,48.95,0.10
1779777628,9.73,9.73,0.00,47.88,0.10
1779777629,10.84,10.84,0.00,47.06,0.14
1779777630,10.60,10.60,0.00,47.25,0.19
1779777631,11.28,11.28,0.00,48.14,0.14
1779777632,13.03,13.03,0.00,47.69,0.11
1779777633,12.97,12.97,0.00,42.56,0.14
1779777634,9.70,9.70,0.00,44.06,0.16
1779777635,9.82,9.82,0.00,45.24,0.24
1779777636,10.86,10.86,0.00,47.21,0.18
1779777638,11.98,11.98,0.00,38.94,0.07
1779777639,9.89,9.89,0.00,39.47,0.18
1779777640,12.06,12.06,0.00,44.61,0.14
1779777641,12.93,12.93,0.00,46.35,0.20
1779777642,10.54,10.54,0.00,45.41,0.36
1779777643,9.58,9.58,0.00,42.24,0.11
1779777644,12.62,12.62,0.00,43.61,0.11
1779777645,10.29,10.29,0.00,37.89,0.17
1779777646,9.03,9.03,0.00,43.41,0.03
