Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779777334,15.93,15.93,0.00,40.38,0.00
1779777335,15.86,15.86,0.00,50.47,0.02
1779777336,15.23,15.23,0.00,46.61,0.03
1779777337,15.09,15.09,0.00,45.00,0.00
1779777338,15.50,15.50,0.00,48.19,0.00
1779777339,13.87,13.87,0.00,61.07,0.00
1779777340,11.33,11.33,0.00,41.30,0.00
1779777341,12.79,12.79,0.00,39.70,0.00
1779777342,14.33,14.33,0.00,45.06,0.00
1779777343,11.50,11.50,0.00,43.68,0.04
1779777344,8.03,8.03,0.00,29.96,0.04
1779777345,7.19,7.19,0.00,23.32,0.22
1779777346,7.45,7.45,0.00,29.10,0.18
1779777347,8.64,8.64,0.00,31.46,0.41
1779777348,10.07,10.07,0.00,38.62,0.65
1779777349,10.03,10.03,0.00,24.63,0.25
1779777350,10.13,10.13,0.00,26.90,0.77
1779777351,10.29,10.29,0.00,28.44,0.42
1779777352,9.91,9.91,0.00,38.20,0.33
1779777353,9.38,9.38,0.00,24.57,0.21
1779777354,9.92,9.92,0.00,26.87,0.59
1779777355,10.79,10.79,0.00,32.20,0.48
1779777356,10.68,10.68,0.00,40.55,0.24
1779777357,10.79,10.79,0.00,32.75,0.29
1779777358,10.16,10.16,0.00,30.97,0.53
1779777359,10.10,10.10,0.00,26.87,0.42
1779777360,11.99,11.99,0.00,43.70,0.17
1779777361,10.60,10.60,0.00,26.40,0.22
1779777362,9.94,9.94,0.00,20.83,0.64
1779777363,9.67,9.67,0.00,27.81,0.25
1779777364,9.62,9.62,0.00,19.89,0.38
1779777365,9.12,9.12,0.00,19.63,0.18
1779777366,8.87,8.87,0.00,19.94,0.31
1779777367,9.17,9.17,0.00,21.42,0.53
1779777368,9.04,9.04,0.00,19.52,0.29
1779777369,9.39,9.39,0.00,25.18,0.23
1779777370,10.18,10.18,0.00,29.57,0.41
1779777371,8.47,8.47,0.00,14.44,0.54
1779777372,8.97,8.97,0.00,16.28,0.52
1779777373,9.52,9.52,0.00,18.75,0.56
1779777374,7.76,7.76,0.00,16.54,0.29
1779777375,9.07,9.07,0.00,24.33,0.67
1779777376,8.14,8.14,0.00,14.44,0.74
1779777377,8.56,8.56,0.00,14.94,0.34
1779777378,7.60,7.60,0.00,12.39,0.65
1779777379,7.62,7.62,0.00,12.43,0.51
1779777380,10.58,10.58,0.00,27.96,0.76
1779777381,8.26,8.26,0.00,19.23,0.61
1779777382,8.15,8.15,0.00,19.80,0.38
1779777383,8.06,8.06,0.00,17.03,0.26
1779777384,8.29,8.29,0.00,13.66,0.33
1779777385,8.67,8.67,0.00,15.63,0.22
1779777386,10.11,10.11,0.00,19.29,0.76
1779777387,9.16,9.16,0.00,19.55,0.48
1779777388,9.94,9.94,0.00,20.93,0.22
1779777389,10.31,10.31,0.00,30.04,0.41
1779777390,7.47,7.47,0.00,11.46,0.20
1779777391,8.93,8.93,0.00,15.91,0.40
1779777392,7.97,7.97,0.00,12.26,0.20
1779777393,7.11,7.11,0.00,13.21,0.29
1779777394,8.02,8.02,0.00,12.40,0.65
1779777395,8.80,8.80,0.00,15.81,0.48
1779777396,8.11,8.11,0.00,12.86,0.30
1779777397,9.90,9.90,0.00,37.76,0.37
1779777398,9.65,9.65,0.00,22.27,0.55
1779777399,9.13,9.13,0.00,17.10,0.25
1779777400,8.44,8.44,0.00,22.73,0.24
1779777401,8.25,8.25,0.00,26.99,0.10
1779777402,10.60,10.60,0.00,30.64,0.32
1779777403,9.17,9.17,0.00,21.52,0.37
1779777404,8.92,8.92,0.00,17.72,0.23
1779777405,8.01,8.01,0.00,15.32,0.45
1779777406,9.87,9.87,0.00,36.90,0.23
1779777407,8.77,8.77,0.00,16.68,0.12
1779777408,8.34,8.34,0.00,18.93,0.31
1779777409,8.64,8.64,0.00,17.78,0.22
1779777410,9.70,9.70,0.00,46.26,0.12
1779777411,10.12,10.12,0.00,23.18,0.10
