timestamp,branch,power_watts,energy_joules,interval_seconds
1779776624221,org.springframework.samples.petclinic.owner.VisitController.processNewVisitForm,0.061701068,0.062219734,1.008406100
1779776625332,org.springframework.samples.petclinic.owner.OwnerController.findOwner,0.147714681,0.148357920,1.004354600
1779776625332,org.springframework.samples.petclinic.owner.OwnerController.processFindForm;org.springframework.samples.petclinic.owner.OwnerController.findPaginatedForOwnersLastName,0.131301939,0.131873706,1.004354600
1779776625332,org.springframework.samples.petclinic.model.NamedEntity.toString,0.164127424,0.164842133,1.004354600
1779776625332,org.springframework.samples.petclinic.owner.OwnerController.showOwner,0.592499999,0.595080100,1.004354600
1779776626432,org.springframework.samples.petclinic.owner.VisitController.loadPetWithVisit,0.105182099,0.107015454,1.017430300
1779776626432,org.springframework.samples.petclinic.owner.OwnerController.findOwner,0.070121399,0.071343636,1.017430300
1779776626432,org.springframework.samples.petclinic.owner.PetTypeFormatter.parse;org.springframework.samples.petclinic.owner.PetTypeFormatter.parse,0.420728395,0.428061817,1.017430300
1779776626432,org.springframework.samples.petclinic.owner.VisitController.processNewVisitForm,0.163616598,0.166468485,1.017430300
1779776630181,org.springframework.samples.petclinic.owner.PetController.populatePetTypes,0.176962038,0.178965072,1.011319000
1779776630181,org.springframework.samples.petclinic.owner.PetController.findOwner,0.053088612,0.053689522,1.011319000
1779776630181,org.springframework.samples.petclinic.owner.PetTypeFormatter.parse;org.springframework.samples.petclinic.owner.PetTypeFormatter.parse,1.318367186,1.333289784,1.011319000
1779776631284,org.springframework.samples.petclinic.owner.PetTypeFormatter.parse;org.springframework.samples.petclinic.owner.PetTypeFormatter.parse,0.018959235,0.019161596,1.010673500
1779776631284,org.springframework.samples.petclinic.owner.VisitController.processNewVisitForm,0.521378953,0.526943892,1.010673500
1779776631284,org.springframework.samples.petclinic.owner.OwnerController.showOwner,0.170633112,0.172454365,1.010673500
1779776632373,org.springframework.samples.petclinic.owner.VisitController.loadPetWithVisit,0.156165185,0.157097866,1.005972400
1779776634552,org.springframework.samples.petclinic.owner.PetTypeFormatter.parse;org.springframework.samples.petclinic.owner.PetTypeFormatter.parse,1.416672045,1.419789291,1.002200400
1779776636014,org.springframework.samples.petclinic.owner.VisitController.loadPetWithVisit,0.031611815,0.031886449,1.008687700
1779776636014,org.springframework.samples.petclinic.owner.OwnerController.findOwner,0.047417722,0.047829673,1.008687700
1779776636014,org.springframework.samples.petclinic.owner.VisitController.processNewVisitForm,0.239459495,0.241539848,1.008687700
1779776636014,org.springframework.samples.petclinic.owner.OwnerController.showOwner,0.071126583,0.071744509,1.008687700
1779776636014,org.springframework.samples.petclinic.owner.PetTypeFormatter.print;org.springframework.samples.petclinic.owner.PetTypeFormatter.print,0.094835444,0.095659346,1.008687700
1779776639269,org.springframework.samples.petclinic.owner.VisitController.loadPetWithVisit,0.067111056,0.067255465,1.002151800
