Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779776321,11.49,11.49,0.00,67.47,0.00
1779776322,13.72,13.72,0.00,82.02,0.01
1779776323,11.82,11.82,0.00,79.86,0.00
1779776324,11.40,11.40,0.00,68.28,0.00
1779776325,11.64,11.64,0.00,63.69,0.00
1779776326,12.82,12.82,0.00,68.79,0.00
1779776327,12.32,12.32,0.00,81.09,0.00
1779776328,12.18,12.18,0.00,76.67,0.00
1779776329,12.70,12.70,0.00,66.90,0.00
1779776330,12.26,12.26,0.00,73.44,0.00
1779776331,12.09,12.09,0.00,72.78,0.00
1779776332,11.42,11.42,0.00,72.95,0.00
1779776333,11.86,11.86,0.00,84.21,0.00
1779776334,12.24,12.24,0.00,79.00,0.00
1779776335,11.39,11.39,0.00,83.32,0.00
1779776336,11.70,11.70,0.00,87.44,0.00
1779776338,11.96,11.96,0.00,77.34,0.00
1779776339,11.92,11.92,0.00,74.19,0.00
1779776340,11.86,11.86,0.00,72.58,0.00
1779776341,12.18,12.18,0.00,71.17,0.00
1779776342,10.61,10.61,0.00,61.04,0.00
1779776344,11.06,11.06,0.00,55.09,0.00
1779776345,14.15,14.15,0.00,67.41,0.01
1779776346,12.30,12.30,0.00,64.35,0.00
1779776347,12.10,12.10,0.00,58.20,0.00
1779776348,13.65,13.65,0.00,75.40,0.00
1779776349,11.73,11.73,0.00,83.67,0.00
1779776350,11.38,11.38,0.00,86.91,0.00
1779776352,11.66,11.66,0.00,75.33,0.00
1779776354,11.55,11.55,0.00,78.04,0.00
1779776355,12.09,12.09,0.00,85.40,0.00
1779776357,10.93,10.93,0.00,69.14,0.00
1779776358,13.02,13.02,0.00,82.85,0.00
1779776359,11.80,11.80,0.00,80.42,0.00
1779776361,11.27,11.27,0.00,68.05,0.00
1779776362,11.89,11.89,0.00,60.59,0.00
1779776364,11.82,11.82,0.00,64.53,0.00
1779776365,12.21,12.21,0.00,62.00,0.00
1779776366,12.02,12.02,0.00,61.23,0.00
1779776367,12.00,12.00,0.00,62.83,0.00
1779776369,12.43,12.43,0.00,65.33,0.00
1779776370,12.51,12.51,0.00,86.78,0.00
1779776371,11.61,11.61,0.00,70.70,0.00
1779776372,11.13,11.13,0.00,63.81,0.00
1779776373,12.28,12.28,0.00,65.46,0.00
1779776374,12.03,12.03,0.00,76.37,0.00
1779776375,11.95,11.95,0.00,70.57,0.00
1779776376,10.81,10.81,0.00,56.94,0.00
1779776378,12.23,12.23,0.00,54.67,0.00
1779776379,12.44,12.44,0.00,52.78,0.00
1779776380,14.23,14.23,0.00,62.63,0.02
1779776381,11.44,11.44,0.00,53.80,0.00
1779776382,11.08,11.08,0.00,52.60,0.00
1779776383,13.68,13.68,0.00,62.78,0.01
1779776384,12.41,12.41,0.00,65.89,0.00
1779776385,11.95,11.95,0.00,76.81,0.00
1779776386,9.55,9.55,0.00,50.34,0.00
1779776387,12.57,12.57,0.00,53.97,0.00
1779776388,13.81,13.81,0.00,64.38,0.02
1779776389,13.97,13.97,0.00,81.30,0.01
1779776390,10.91,10.91,0.00,72.68,0.00
1779776391,12.26,12.26,0.00,68.57,0.00
1779776392,12.17,12.17,0.00,82.76,0.00
1779776394,11.99,11.99,0.00,84.59,0.00
1779776395,12.49,12.49,0.00,86.88,0.00
1779776396,11.66,11.66,0.00,74.81,0.00
1779776397,12.38,12.38,0.00,73.79,0.00
1779776398,11.07,11.07,0.00,60.19,0.00
1779776399,13.13,13.13,0.00,62.22,0.00
1779776401,11.28,11.28,0.00,57.49,0.00
1779776402,12.16,12.16,0.00,69.92,0.00
1779776403,12.13,12.13,0.00,77.53,0.00
1779776404,12.18,12.18,0.00,76.19,0.00
1779776405,10.53,10.53,0.00,61.58,0.00
1779776406,11.68,11.68,0.00,55.83,0.00
1779776407,11.39,11.39,0.00,53.16,0.00
1779776408,11.79,11.79,0.00,50.97,0.00
1779776409,13.66,13.66,0.00,54.92,0.01
1779776411,11.72,11.72,0.00,53.74,0.00
