org.springframework.web.servlet.config.annotation.WebMvcConfigurer.configureViewResolvers,0.0605
org.hibernate.sql.results.internal.ResultsHelper.createRowReader,0.0101
org.hibernate.sql.results.jdbc.internal.JdbcValuesSourceProcessingStateStandardImpl.finishUp,0.0122
sun.util.resources.OpenListResourceBundle.loadLookup,0.0000
java.lang.Throwable.fillInStackTrace,1.2341
org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder.addBindValues,0.0097
org.springframework.boot.loader.net.protocol.jar.JarFileUrlKey.<init>,0.0065
java.lang.invoke.LambdaForm$MH/0x000001cc81005800.invokeExact_MT,0.0766
org.springframework.util.ObjectUtils.nullSafeEquals,0.4028
jdk.internal.org.objectweb.asm.MethodVisitor.<init>,0.0453
org.antlr.v4.runtime.atn.PredictionContext.<init>,0.0496
java.lang.invoke.MethodHandles$Lookup.revealDirect,0.0531
org.thymeleaf.engine.Attribute.write,0.0394
java.lang.ref.Reference.clear0,0.1399
org.hibernate.collection.spi.AbstractPersistentCollection$IteratorProxy.next,0.0476
org.springframework.http.MediaType.<init>,0.0033
sun.nio.ch.ServerSocketChannelImpl.<init>,0.0000
org.hibernate.engine.internal.StatefulPersistenceContext.processLoadedEntityHolder,0.0042
org.springframework.core.convert.TypeDescriptor.getAnnotatedElement,0.3204
org.h2.result.LocalResult.applyOffsetAndLimit,0.0047
org.springframework.expression.spel.ast.MethodReference.getArguments,0.0656
jdk.internal.loader.URLClassPath.getLoader,0.3749
com.sun.management.internal.DiagnosticCommandImpl.executeDiagnosticCommand,0.0000
jdk.internal.misc.Unsafe.park,4.4873
java.util.ArrayDeque.<init>,0.0053
java.lang.ClassLoader.<init>,0.0453
org.apache.tomcat.util.buf.CharChunk.indexOf,0.0049
java.util.TimSort.binarySort,0.0137
org.springframework.data.repository.query.parser.Part.<init>,0.0531
org.hibernate.sql.results.graph.collection.internal.AbstractNonJoinCollectionInitializer.resolveInstance,0.0092
org.thymeleaf.standard.expression.ExpressionCache.getFromCache,0.0125
java.util.ComparableTimSort.countRunAndMakeAscending,0.0006
sun.reflect.generics.reflectiveObjects.WildcardTypeImpl.equals,0.0055
java.lang.invoke.LambdaFormBuffer.indexOf,0.0030
java.lang.ClassLoader.findLoadedClass0,0.5850
org.springframework.web.servlet.FrameworkServlet.service,0.0023
java.util.HashSet.spliterator,0.0125
org.springframework.core.ResolvableType.asVariableResolver,0.0160
java.lang.invoke.DirectMethodHandle.allocateInstance,0.0850
org.springframework.data.jpa.repository.query.StringQuery$ParameterBindingParser.<clinit>,0.0531
org.springframework.expression.spel.support.ReflectionHelper.convertArguments,0.0135
java.lang.ref.Reference.refersTo,0.0919
org.hibernate.loader.ast.internal.CacheEntityLoaderHelper.loadFromSessionCache,0.0035
java.util.HashMap.putVal,0.1355
org.apache.tomcat.util.buf.MessageBytes.toBytesSimple,0.0034
java.lang.reflect.Proxy.getProxyConstructor,0.0445
sun.nio.ch.WEPollSelectorImpl.doSelect,0.0337
org.thymeleaf.standard.expression.Expression.parse,1.0848
org.springframework.expression.spel.ExpressionState.initContextObjects,0.0075
org.h2.expression.condition.Comparison.getValue,0.0450
java.util.ArrayList.indexOfRange,0.5452
org.springframework.expression.spel.ast.CompoundExpression.getValueInternal,0.1157
com.github.benmanes.caffeine.cache.LocalCache.notifyOnReplace,0.0010
org.hibernate.sql.results.graph.entity.internal.EntityInitializerImpl.resolveEntityKey,0.0084
java.util.Arrays.equals,0.0512
sun.security.provider.SHA2.implCompress0,0.0014
jdk.internal.misc.VM.getNanoTimeAdjustment,0.1777
org.antlr.v4.runtime.CommonTokenStream.LT,0.0496
org.thymeleaf.util.Validate.notEmpty,0.0048
org.springframework.data.repository.core.support.RepositoryMethodInvoker.doInvoke,0.0075
jdk.internal.reflect.Reflection.verifyModuleAccess,0.0445
org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.getDataBinderFactory,0.0030
org.hibernate.grammars.hql.HqlParser.query,0.0496
java.lang.Class.getDeclaringClass0,0.0496
java.util.Collections$UnmodifiableCollection$1.<init>,0.0586
java.lang.ref.Reference.getAndClearReferencePendingList,0.0000
jdk.internal.misc.ScopedMemoryAccess.copyMemoryInternal,0.0170
java.lang.Long.getChars,0.1549
java.util.ComparableTimSort.binarySort,0.0005
io.micrometer.core.instrument.distribution.TimeWindowMax.rotate,0.0006
java.util.LinkedHashMap$LinkedEntryIterator.next,0.0452
ch.qos.logback.core.pattern.SpacePadder.leftPad,0.0954
org.hibernate.engine.internal.EntityEntryContext.processEachManagedEntity,0.0395
java.util.concurrent.ConcurrentHashMap$BaseIterator.<init>,0.0605
org.apache.catalina.core.StandardPipeline.isAsyncSupported,0.0117
javax.management.openmbean.CompositeDataSupport.makeMap,0.0003
org.springframework.http.server.DefaultRequestPath.elements,0.0046
org.hibernate.sql.results.graph.entity.internal.EntityInitializerImpl.registerLoadingEntity,0.0534
org.apache.tomcat.util.http.parser.HttpParser.readDigits,0.0110
org.thymeleaf.engine.Attributes.write,0.0259
org.springframework.core.annotation.AnnotationTypeMapping.addConventionMappings,0.0605
java.lang.invoke.LambdaForm$MH/0x000001cc81a84000.invokeExact_MT,0.2342
org.springframework.data.jpa.repository.support.CrudMethodMetadataPostProcessor$CrudMethodMetadataPopulatingMethodInterceptor.invoke,0.2112
java.lang.StringLatin1.regionMatchesCI,0.4643
org.antlr.v4.runtime.atn.ATNDeserializer.decodeIntsEncodedAs16BitWords,0.0496
org.hibernate.query.sqm.internal.ConcreteSqmSelectQueryPlan$1.<init>,0.0065
java.nio.charset.Charset.forName,0.0099
java.lang.Class.forName0,0.4452
java.util.regex.Matcher.reset,0.0096
java.lang.ThreadLocal.getMap,0.0445
org.hibernate.query.spi.AbstractSelectionQuery.getCallback,0.0454
java.net.URL.getURLStreamHandler,0.1723
org.springframework.asm.ClassReader.readMethod,0.1188
org.springframework.boot.loader.zip.ZipString.compare,0.0605
java.util.TimeZone.clone,0.0098
