Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779778373,14.56,14.56,0.00,41.96,0.24
1779778374,17.40,17.40,0.00,37.98,0.25
1779778375,11.67,11.67,0.00,33.33,0.19
1779778376,13.39,13.39,0.00,43.52,0.24
1779778377,15.51,15.51,0.00,48.73,0.27
1779778378,17.28,17.28,0.00,60.85,0.27
1779778379,11.59,11.59,0.00,30.48,0.21
1779778380,11.44,11.44,0.00,29.42,0.18
1779778381,13.32,13.32,0.00,39.83,0.29
1779778382,14.02,14.02,0.00,50.39,0.24
1779778383,10.10,10.10,0.00,28.54,0.30
1779778384,8.13,8.13,0.00,26.59,0.19
1779778385,10.55,10.55,0.00,35.87,1.15
1779778386,10.52,10.52,0.00,44.72,0.42
1779778387,7.85,7.85,0.00,24.88,0.49
1779778388,9.18,9.18,0.00,26.89,1.10
1779778389,9.99,9.99,0.00,25.12,0.54
1779778390,11.81,11.81,0.00,41.32,0.52
1779778391,10.66,10.66,0.00,25.47,0.53
1779778392,12.16,12.16,0.00,36.49,0.90
1779778393,11.21,11.21,0.00,28.67,0.45
1779778394,9.94,9.94,0.00,42.85,0.48
1779778395,12.45,12.45,0.00,30.27,1.10
1779778396,9.12,9.12,0.00,27.55,0.59
1779778397,11.58,11.58,0.00,25.84,0.60
1779778398,11.75,11.75,0.00,36.67,0.87
1779778399,10.70,10.70,0.00,32.79,0.38
1779778400,11.27,11.27,0.00,25.96,0.61
1779778401,10.86,10.86,0.00,26.26,0.72
1779778402,11.28,11.28,0.00,35.59,0.49
1779778403,10.84,10.84,0.00,32.33,0.44
1779778404,9.39,9.39,0.00,23.14,0.54
1779778405,10.17,10.17,0.00,26.57,0.48
1779778406,9.85,9.85,0.00,33.64,0.43
1779778407,10.08,10.08,0.00,33.28,0.54
1779778408,9.73,9.73,0.00,23.85,0.51
1779778409,10.09,10.09,0.00,22.75,0.69
1779778410,11.22,11.22,0.00,30.42,0.37
1779778411,11.81,11.81,0.00,38.19,0.46
1779778412,11.80,11.80,0.00,30.09,0.46
1779778413,10.77,10.77,0.00,28.99,0.40
1779778414,10.95,10.95,0.00,34.06,0.40
1779778415,12.94,12.94,0.00,42.82,0.54
1779778416,9.29,9.29,0.00,31.70,0.49
1779778417,8.78,8.78,0.00,30.66,0.43
1779778418,10.27,10.27,0.00,27.89,0.66
1779778419,10.93,10.93,0.00,40.76,0.36
1779778420,10.44,10.44,0.00,26.01,0.69
1779778421,9.96,9.96,0.00,23.34,0.57
1779778422,10.41,10.41,0.00,27.47,0.53
1779778423,12.75,12.75,0.00,45.36,0.53
1779778424,10.51,10.51,0.00,26.89,0.43
1779778425,9.93,9.93,0.00,24.42,0.65
1779778426,9.25,9.25,0.00,24.30,0.37
1779778427,9.65,9.65,0.00,39.80,0.27
1779778428,15.82,15.82,0.00,39.72,0.50
1779778429,13.47,13.47,0.00,35.30,0.59
1779778430,13.35,13.35,0.00,32.58,0.19
1779778431,11.58,11.58,0.00,45.33,0.26
1779778432,9.08,9.08,0.00,38.22,0.42
1779778433,8.87,8.87,0.00,32.18,0.37
1779778434,12.37,12.37,0.00,31.11,0.66
1779778435,11.89,11.89,0.00,26.98,0.83
1779778436,10.35,10.35,0.00,41.27,0.35
1779778437,12.00,12.00,0.00,24.94,0.52
1779778438,11.27,11.27,0.00,24.00,0.44
1779778439,11.03,11.03,0.00,32.45,0.50
1779778440,10.52,10.52,0.00,45.80,0.34
1779778441,10.37,10.37,0.00,29.81,0.43
1779778442,26.69,26.69,0.00,55.09,1.03
1779778443,16.82,16.82,0.00,37.52,0.52
1779778444,14.74,14.74,0.00,46.02,0.75
1779778445,14.19,14.19,0.00,43.63,0.68
1779778446,18.78,18.78,0.00,49.65,0.74
1779778447,18.07,18.07,0.00,43.87,0.90
1779778448,20.02,20.02,0.00,47.81,0.65
1779778449,14.72,14.72,0.00,54.74,0.82
1779778450,13.94,13.94,0.00,49.46,0.35
1779778451,13.83,13.83,0.00,52.73,0.36
