Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779778726,15.15,15.15,0.00,31.85,0.26
1779778727,16.33,16.33,0.00,34.90,0.33
1779778728,15.05,15.05,0.00,54.87,0.25
1779778729,15.82,15.82,0.00,54.22,0.23
1779778730,15.27,15.27,0.00,51.48,0.25
1779778731,13.38,13.38,0.00,38.29,0.25
1779778732,11.63,11.63,0.00,30.72,0.26
1779778733,15.09,15.09,0.00,56.72,0.17
1779778734,13.33,13.33,0.00,41.13,0.26
1779778735,10.02,10.02,0.00,33.31,0.21
1779778736,7.30,7.30,0.00,21.88,0.34
1779778737,9.46,9.46,0.00,38.98,0.25
1779778738,7.39,7.39,0.00,18.22,0.32
1779778739,7.90,7.90,0.00,27.20,0.35
1779778740,8.30,8.30,0.00,23.83,0.44
1779778741,10.82,10.82,0.00,40.06,0.19
1779778742,9.51,9.51,0.00,20.85,0.57
1779778743,10.06,10.06,0.00,26.05,0.51
1779778744,10.59,10.59,0.00,25.76,0.43
1779778745,12.16,12.16,0.00,41.09,0.34
1779778746,11.02,11.02,0.00,27.00,0.48
1779778747,9.38,9.38,0.00,22.19,0.46
1779778748,9.70,9.70,0.00,21.95,0.48
1779778749,10.12,10.12,0.00,36.76,0.22
1779778750,11.05,11.05,0.00,27.69,0.49
1779778751,9.74,9.74,0.00,21.95,0.45
1779778752,10.11,10.11,0.00,22.39,0.39
1779778753,11.45,11.45,0.00,35.00,0.34
1779778754,10.04,10.04,0.00,24.38,0.38
1779778755,10.32,10.32,0.00,25.10,0.35
1779778756,9.55,9.55,0.00,21.58,0.49
1779778757,9.64,9.64,0.00,34.12,0.42
1779778758,11.18,11.18,0.00,28.08,0.37
1779778759,10.41,10.41,0.00,20.34,1.06
1779778760,10.43,10.43,0.00,20.81,0.82
1779778761,11.14,11.14,0.00,39.30,0.38
1779778762,9.64,9.64,0.00,26.33,0.31
1779778763,8.93,8.93,0.00,18.83,0.45
1779778764,9.31,9.31,0.00,20.53,0.57
1779778765,10.11,10.11,0.00,36.31,0.52
1779778766,10.32,10.32,0.00,29.73,0.27
1779778767,10.45,10.45,0.00,20.69,1.05
1779778768,9.77,9.77,0.00,26.00,0.34
1779778769,9.59,9.59,0.00,33.44,0.25
1779778770,9.46,9.46,0.00,24.60,0.49
1779778771,9.83,9.83,0.00,20.79,0.40
1779778772,9.72,9.72,0.00,21.29,0.39
1779778773,10.72,10.72,0.00,33.44,0.32
1779778774,12.20,12.20,0.00,29.79,0.29
1779778775,11.13,11.13,0.00,26.85,0.45
1779778776,10.64,10.64,0.00,30.10,0.39
1779778777,10.07,10.07,0.00,34.00,0.30
1779778778,10.04,10.04,0.00,26.40,0.38
1779778779,9.85,9.85,0.00,20.13,0.62
1779778780,9.34,9.34,0.00,22.87,0.38
1779778781,9.83,9.83,0.00,31.51,0.19
1779778782,9.79,9.79,0.00,29.99,0.38
1779778783,9.82,9.82,0.00,22.50,0.20
1779778784,10.54,10.54,0.00,27.47,0.43
1779778785,9.00,9.00,0.00,33.46,0.25
1779778786,10.80,10.80,0.00,37.98,0.44
1779778787,9.08,9.08,0.00,20.71,0.41
1779778788,9.35,9.35,0.00,19.38,0.48
1779778789,11.22,11.22,0.00,28.02,0.94
1779778790,10.40,10.40,0.00,38.98,0.69
1779778791,10.05,10.05,0.00,23.57,0.40
1779778792,9.46,9.46,0.00,21.55,0.49
1779778793,8.73,8.73,0.00,26.22,0.23
1779778794,11.03,11.03,0.00,39.45,0.31
1779778795,10.44,10.44,0.00,23.13,0.53
1779778796,9.54,9.54,0.00,23.52,0.38
1779778797,9.35,9.35,0.00,18.95,0.74
1779778798,9.76,9.76,0.00,39.16,0.29
1779778799,10.34,10.34,0.00,19.71,0.86
1779778800,8.98,8.98,0.00,17.11,0.41
1779778801,9.93,9.93,0.00,25.27,0.24
1779778802,10.16,10.16,0.00,43.24,0.20
