Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779778639,16.60,16.60,0.00,42.65,0.33
1779778640,19.39,19.39,0.00,47.09,0.26
1779778641,18.20,18.20,0.00,54.54,0.21
1779778642,16.08,16.08,0.00,53.24,0.21
1779778643,17.52,17.52,0.00,61.21,0.29
1779778644,13.10,13.10,0.00,38.24,0.24
1779778645,11.11,11.11,0.00,29.50,0.26
1779778646,9.72,9.72,0.00,31.60,0.15
1779778647,7.41,7.41,0.00,30.02,0.19
1779778648,7.64,7.64,0.00,22.66,0.18
1779778649,7.16,7.16,0.00,19.73,0.26
1779778650,7.48,7.48,0.00,24.38,0.17
1779778651,7.75,7.75,0.00,32.33,0.15
1779778652,8.21,8.21,0.00,18.70,0.20
1779778653,9.72,9.72,0.00,20.09,0.34
1779778654,10.58,10.58,0.00,26.56,0.22
1779778655,15.00,15.00,0.00,49.54,0.16
1779778656,17.29,17.29,0.00,34.96,0.27
1779778657,10.73,10.73,0.00,22.43,0.30
1779778658,10.03,10.03,0.00,22.20,0.41
1779778659,11.66,11.66,0.00,39.66,0.25
1779778660,10.38,10.38,0.00,25.82,0.35
1779778661,9.60,9.60,0.00,20.59,0.36
1779778662,10.95,10.95,0.00,28.16,0.43
1779778663,11.52,11.52,0.00,42.99,0.33
1779778664,10.91,10.91,0.00,26.73,0.78
1779778665,9.07,9.07,0.00,18.59,0.39
1779778666,10.00,10.00,0.00,19.80,0.54
1779778667,10.94,10.94,0.00,40.12,0.25
1779778668,10.81,10.81,0.00,21.83,0.98
1779778669,9.78,9.78,0.00,22.10,0.61
1779778670,11.55,11.55,0.00,25.84,0.98
1779778671,12.44,12.44,0.00,41.99,0.37
1779778672,9.56,9.56,0.00,18.82,0.48
1779778673,10.43,10.43,0.00,22.67,0.42
1779778674,10.22,10.22,0.00,22.91,0.42
1779778675,10.46,10.46,0.00,39.55,0.47
1779778676,10.14,10.14,0.00,18.91,0.92
1779778677,9.54,9.54,0.00,19.49,0.49
1779778678,9.60,9.60,0.00,19.69,0.53
1779778679,10.89,10.89,0.00,41.73,0.27
1779778680,10.00,10.00,0.00,20.23,0.54
1779778681,9.14,9.14,0.00,17.75,0.58
1779778682,9.64,9.64,0.00,22.03,0.54
1779778683,11.03,11.03,0.00,41.14,0.25
1779778684,11.33,11.33,0.00,26.11,0.37
1779778685,10.61,10.61,0.00,25.90,0.42
1779778686,11.35,11.35,0.00,22.32,0.87
1779778687,10.16,10.16,0.00,30.61,0.54
1779778688,9.78,9.78,0.00,35.92,0.46
1779778689,9.73,9.73,0.00,20.24,0.45
1779778690,10.72,10.72,0.00,23.62,0.32
1779778691,10.47,10.47,0.00,28.68,0.48
1779778692,11.62,11.62,0.00,35.65,0.38
1779778693,10.13,10.13,0.00,20.92,0.79
1779778694,9.69,9.69,0.00,19.89,0.42
1779778695,9.08,9.08,0.00,21.73,0.39
1779778696,11.35,11.35,0.00,34.86,0.33
1779778697,9.97,9.97,0.00,20.30,0.65
1779778698,11.23,11.23,0.00,26.87,1.40
1779778699,10.91,10.91,0.00,25.13,1.44
1779778700,13.97,13.97,0.00,40.59,1.59
1779778701,9.02,9.02,0.00,22.96,0.68
1779778702,8.91,8.91,0.00,19.20,0.50
1779778703,9.74,9.74,0.00,22.15,0.35
1779778704,12.53,12.53,0.00,44.73,0.54
1779778705,10.79,10.79,0.00,26.48,0.58
1779778706,8.99,8.99,0.00,18.73,0.70
1779778707,11.45,11.45,0.00,30.13,0.66
1779778708,10.36,10.36,0.00,37.95,0.42
1779778709,9.57,9.57,0.00,22.00,0.99
1779778710,9.55,9.55,0.00,23.93,0.28
1779778711,9.75,9.75,0.00,19.30,0.59
1779778712,11.34,11.34,0.00,38.61,0.44
1779778713,10.00,10.00,0.00,21.77,0.43
1779778714,10.73,10.73,0.00,24.61,0.44
1779778715,11.24,11.24,0.00,26.64,0.36
1779778716,12.51,12.51,0.00,40.08,0.34
1779778717,10.30,10.30,0.00,21.88,1.18
1779778718,9.79,9.79,0.00,22.91,0.34
1779778719,10.11,10.11,0.00,23.29,0.34
1779778720,10.74,10.74,0.00,40.93,0.31
1779778721,10.33,10.33,0.00,21.47,0.53
1779778722,9.96,9.96,0.00,25.16,0.37
1779778723,8.61,8.61,0.00,19.44,0.24
1779778724,8.60,8.60,0.00,36.95,0.11
