Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779778453,13.84,13.84,0.00,67.50,0.38
1779778454,10.94,10.94,0.00,58.98,0.30
1779778455,11.17,11.17,0.00,60.22,0.01
1779778456,9.76,9.76,0.00,57.19,0.35
1779778457,9.47,9.47,0.00,42.86,0.34
1779778458,12.89,12.89,0.00,53.17,0.16
1779778459,9.31,9.31,0.00,42.82,0.09
1779778460,11.08,11.08,0.00,49.25,0.20
1779778461,12.31,12.31,0.00,50.00,0.33
1779778462,12.13,12.13,0.00,49.69,0.28
1779778463,11.33,11.33,0.00,44.25,0.16
1779778464,13.27,13.27,0.00,52.55,0.10
1779778465,15.18,15.18,0.00,52.46,0.18
1779778466,14.14,14.14,0.00,54.87,0.22
1779778467,12.70,12.70,0.00,46.50,0.40
1779778468,13.20,13.20,0.00,44.78,0.23
1779778469,11.08,11.08,0.00,35.21,0.16
1779778470,14.75,14.75,0.00,64.97,0.16
1779778472,12.60,12.60,0.00,58.79,0.22
1779778473,10.58,10.58,0.00,53.00,0.23
1779778474,11.08,11.08,0.00,50.15,0.43
1779778475,12.03,12.03,0.00,48.76,0.21
1779778476,11.54,11.54,0.00,49.77,0.34
1779778477,9.01,9.01,0.00,26.31,0.35
1779778478,11.88,11.88,0.00,30.09,0.40
1779778479,10.06,10.06,0.00,36.31,0.28
1779778480,8.98,8.98,0.00,25.19,0.33
1779778481,10.16,10.16,0.00,21.98,0.32
1779778482,12.77,12.77,0.00,27.13,0.87
1779778483,16.35,16.35,0.00,49.77,0.52
1779778484,9.19,9.19,0.00,33.09,0.51
1779778485,9.70,9.70,0.00,29.91,0.45
1779778486,8.95,8.95,0.00,27.93,0.73
1779778487,12.40,12.40,0.00,42.32,0.50
1779778488,15.60,15.60,0.00,31.51,0.66
1779778489,27.36,27.36,0.00,53.34,0.85
1779778490,16.81,16.81,0.00,58.02,0.72
1779778491,12.51,12.51,0.00,55.00,1.15
1779778492,11.12,11.12,0.00,66.28,0.88
1779778493,11.54,11.54,0.00,71.50,0.94
1779778494,11.94,11.94,0.00,68.45,0.75
1779778495,10.97,10.97,0.00,66.27,0.67
1779778496,11.72,11.72,0.00,73.89,0.46
1779778498,11.25,11.25,0.00,63.34,0.58
1779778499,12.03,12.03,0.00,54.91,1.73
1779778500,12.90,12.90,0.00,65.66,1.73
1779778501,11.74,11.74,0.00,69.25,1.59
1779778502,11.74,11.74,0.00,61.77,2.03
1779778503,12.04,12.04,0.00,73.12,1.46
1779778504,11.38,11.38,0.00,77.29,0.93
1779778505,11.49,11.49,0.00,72.20,1.06
1779778506,11.53,11.53,0.00,63.57,1.03
1779778507,11.20,11.20,0.00,59.13,1.42
1779778508,12.33,12.33,0.00,57.50,1.60
1779778510,12.63,12.63,0.00,73.61,1.44
1779778511,12.34,12.34,0.00,75.73,0.86
1779778512,11.49,11.49,0.00,84.37,0.50
1779778513,11.69,11.69,0.00,84.30,0.45
1779778514,11.79,11.79,0.00,86.49,0.24
1779778516,11.76,11.76,0.00,80.85,0.45
1779778517,12.49,12.49,0.00,76.91,0.78
1779778518,11.06,11.06,0.00,71.67,0.63
1779778519,9.52,9.52,0.00,53.52,0.90
1779778520,11.69,11.69,0.00,56.40,0.61
1779778521,12.92,12.92,0.00,53.46,0.99
1779778522,13.04,13.04,0.00,49.19,1.31
1779778523,11.77,11.77,0.00,57.04,1.38
1779778525,12.13,12.13,0.00,54.51,1.80
1779778526,13.18,13.18,0.00,57.31,0.74
1779778527,12.14,12.14,0.00,54.81,0.72
1779778528,11.63,11.63,0.00,53.34,1.34
1779778529,12.63,12.63,0.00,57.67,1.26
1779778530,13.80,13.80,0.00,60.06,1.06
1779778531,11.53,11.53,0.00,51.83,1.12
1779778532,11.00,11.00,0.00,48.88,1.13
1779778533,9.39,9.39,0.00,32.25,0.41
1779778534,11.63,11.63,0.00,42.51,0.82
1779778535,10.94,10.94,0.00,41.95,0.44
1779778536,11.70,11.70,0.00,38.50,0.60
1779778537,11.69,11.69,0.00,31.26,0.65
1779778538,14.00,14.00,0.00,36.67,0.80
1779778539,11.93,11.93,0.00,39.78,0.63
1779778540,11.43,11.43,0.00,48.99,0.81
1779778541,9.47,9.47,0.00,31.00,0.46
1779778542,9.03,9.03,0.00,31.86,0.78
1779778543,9.06,9.06,0.00,28.05,0.23
1779778544,13.40,13.40,0.00,49.84,0.29
